,AAV_CBLN1_OE_1,AAV_CBLN1_OE_2,AAV_CBLN1_OE_3,AAV_CTL1,AAV_CTL2,AAV_CTL3
Calm2,766.273019,885.935542,672.503616,871.754562,871.301479,964.271961
Mmp3,953.958393,831.308709,775.800488,946.842492,786.631458,710.948312
Btf3,796.081436,751.220857,720.213835,793.68187,883.206702,941.420487
H3f3b,812.942863,825.034167,666.006201,735.792494,1080.540022,679.504547
Arpc1b,818.828216,777.247816,843.953666,766.360081,713.613968,801.33282
Col6a1,702.693687,745.69905,882.215694,849.258371,958.284208,658.311104
Pgam1,701.504523,556.50569,679.003695,657.107799,1263.587757,901.957809
Tpm4,768.571953,721.80851,671.066413,793.780353,899.567806,782.152523
Myl12a,742.685978,797.704789,632.195735,643.991382,1012.287853,779.200658
Tubb5,808.290198,750.328186,750.769916,723.497094,806.713664,701.03042
Oaz1,820.81362,799.29599,789.017189,803.219471,619.70826,690.475999
Ank,771.644971,704.194071,540.472963,704.403875,876.372706,738.251446
Ctsl,673.140849,552.594582,487.420833,578.642342,1196.763576,866.84882
Rpl36al,659.182393,676.500757,744.683189,757.217782,700.736874,838.18738
Cox4i1,716.398197,756.163539,733.783877,741.063589,685.563609,716.069041
Eif4a1,738.783499,714.921957,654.083228,728.504999,711.376229,723.644311
Emp1,696.646015,527.205954,596.613569,724.066168,981.444454,749.586056
Igfbp5,977.295346,749.254746,628.906735,630.979448,505.474201,599.833394
mt-Nd6,765.871359,972.860573,653.292616,746.727692,408.061939,573.249548
Lgals3,566.283938,460.115282,552.3424,542.186081,1028.916164,828.825684
Tuba1a,708.545942,684.248689,716.34223,754.543316,522.792413,650.860903
Hspb1,514.094632,678.831521,529.210404,480.173265,1026.644573,1023.272219
Tpm1,645.072067,677.523896,596.609335,679.298616,771.524692,649.768851
Atp5e,608.132293,684.217498,722.233188,706.985937,542.655493,693.369157
Tspo,618.544524,616.571001,645.132394,679.466675,617.310962,729.052174
Arhgdia,654.569024,642.251886,740.314389,681.60621,631.482173,636.853043
Hnrnpk,686.458335,618.637475,599.706129,659.499813,702.835226,702.542791
Cp,643.012827,828.935254,582.704752,714.631789,652.485249,629.394373
Gpi1,541.828811,441.23382,523.665995,489.493787,1309.67025,732.590057
Eif4g2,658.995038,639.29845,570.131411,668.240965,613.897854,691.014484
Pdia3,604.535331,675.953167,679.381018,685.530188,502.277211,632.674118
Gnai2,652.397252,590.264677,671.558024,627.340006,660.750808,570.660665
Tmbim6,602.261072,605.909924,667.096351,589.282836,603.432014,593.720129
Npm1,603.120558,591.166443,502.93369,608.669098,726.148733,721.067959
